1,bromwell
2,high
3,is
4,a
5,cartoon
6,comedy
7,it
8,ran
9,at
10,the
11,same
12,time
13,as
14,some
15,other
16,programs
17,about
18,school
19,life
20,such
21,teachers
22,my
23,years
24,in
25,teaching
26,profession
27,lead
28,me
29,to
30,believe
31,that
32,s
33,satire
34,much
35,closer
36,reality
37,than
38,scramble
39,survive
40,financially
41,insightful
42,students
43,who
44,can
45,see
46,right
47,through
48,their
49,pathetic
50,pomp
51,pettiness
52,of
53,whole
54,situation
55,all
56,remind
57,schools
58,i
59,knew
60,and
61,when
62,saw
63,episode
64,which
65,student
66,repeatedly
67,tried
68,burn
69,down
70,immediately
71,recalled
72,classic
73,line
74,inspector
75,m
76,here
77,sack
78,one
79,your
80,welcome
81,expect
82,many
83,adults
84,age
85,think
86,far
87,fetched
88,what
89,pity
90,isn
91,t
92,homelessness
93,or
94,houselessness
95,george
96,carlin
97,stated
98,has
99,been
100,an
101,issue
102,for
103,but
104,never
105,plan
106,help
107,those
108,on
109,street
110,were
111,once
112,considered
113,human
114,did
115,everything
116,from
117,going
118,work
119,vote
120,matter
121,most
122,people
123,homeless
124,just
125,lost
126,cause
127,while
128,worrying
129,things
130,racism
131,war
132,iraq
133,pressuring
134,kids
135,succeed
136,technology
137,elections
138,inflation
139,if
140,they
141,ll
142,be
143,next
144,end
145,up
146,streets
147,you
148,given
149,bet
150,live
151,month
152,without
153,luxuries
154,had
155,home
156,entertainment
157,sets
158,bathroom
159,pictures
160,wall
161,computer
162,treasure
163,like
164,goddard
165,bolt
166,lesson
167,mel
168,brooks
169,directs
170,stars
171,plays
172,rich
173,man
174,world
175,until
176,deciding
177,make
178,with
179,sissy
180,rival
181,jeffery
182,tambor
183,he
184,thirty
185,days
186,succeeds
187,do
188,wants
189,future
190,project
191,making
192,more
193,buildings
194,where
195,thrown
196,bracelet
197,his
198,leg
199,monitor
200,every
201,move
202,step
203,off
204,sidewalk
205,nickname
206,pepto
207,by
208,vagrant
209,after
210,written
211,forehead
212,meets
213,characters
214,including
215,woman
216,name
217,molly
218,lesley
219,ann
220,warren
221,ex
222,dancer
223,got
224,divorce
225,before
226,losing
227,her
228,pals
229,sailor
230,howard
231,morris
232,fumes
233,teddy
234,wilson
235,are
236,already
237,used
238,re
239,survivors
240,not
241,reaching
242,mutual
243,agreements
244,being
245,fight
246,flight
247,kill
248,killed
249,love
250,connection
251,between
252,wasn
253,necessary
254,plot
255,found
256,stinks
257,observant
258,films
259,prior
260,shows
261,tender
262,side
263,compared
264,slapstick
265,blazing
266,saddles
267,young
268,frankenstein
269,spaceballs
270,show
271,having
272,something
273,valuable
274,day
275,hand
276,stupid
277,don
278,know
279,money
280,maybe
281,should
282,give
283,instead
284,using
285,monopoly
286,this
287,film
288,will
289,inspire
290,others
291,brilliant
292,over
293,acting
294,best
295,dramatic
296,hobo
297,lady
298,have
299,ever
300,seen
301,scenes
302,clothes
303,warehouse
304,second
305,none
306,corn
307,face
308,good
309,anything
310,take
311,lawyers
312,also
313,superb
314,accused
315,turncoat
316,selling
317,out
318,boss
319,dishonest
320,lawyer
321,shrugs
322,indifferently
323,says
324,three
325,funny
326,words
327,jeffrey
328,favorite
329,later
330,larry
331,sanders
332,fantastic
333,too
334,mad
335,millionaire
336,crush
337,ghetto
338,character
339,malevolent
340,usual
341,hospital
342,scene
343,invade
344,demolition
345,site
346,classics
347,look
348,legs
349,two
350,big
351,diggers
352,fighting
353,bleeds
354,movie
355,gets
356,better
357,each
358,quite
359,often
360,easily
361,underrated
362,inn
363,cannon
364,sure
365,its
366,flawed
367,does
368,realistic
369,view
370,unlike
371,say
372,how
373,citizen
374,kane
375,gave
376,lounge
377,singers
378,titanic
379,italians
380,idiots
381,jokes
382,fall
383,flat
384,still
385,very
386,lovable
387,way
388,comedies
389,pull
390,story
391,traditionally
392,reviled
393,members
394,society
395,truly
396,impressive
397,fisher
398,king
399,crap
400,either
401,only
402,complaint
403,cast
404,someone
405,else
406,director
407,writer
408,so
409,typical
410,was
411,less
412,movies
413,actually
414,followable
415,leslie
416,made
417,she
418,under
419,rated
420,actress
421,there
422,moments
423,could
424,fleshed
425,bit
426,probably
427,cut
428,room
429,worth
430,price
431,rent
432,overall
433,himself
434,job
435,characteristic
436,speaking
437,directly
438,audience
439,again
440,actor
441,fume
442,both
443,played
444,parts
445,well
446,comedic
447,robin
448,williams
449,nor
450,quirky
451,insane
452,recent
453,thriller
454,fame
455,hybrid
456,drama
457,dramatization
458,mixed
459,new
460,per
461,se
462,mystery
463,suspense
464,vehicle
465,attempts
466,locate
467,sick
468,boy
469,keeper
470,starring
471,sandra
472,oh
473,rory
474,culkin
475,pretty
476,news
477,report
478,william
479,close
480,achieving
481,goal
482,must
483,highly
484,entertained
485,though
486,fails
487,teach
488,guide
489,inspect
490,amuse
491,felt
492,watching
493,guy
494,performing
495,actions
496,third
497,person
498,perspective
499,real
500,able
501,subscribe
502,premise
503,watch
504,definitely
505,friday
506,saturday
507,night
508,fare
509,rates
510,fiend
511,yes
512,art
513,successfully
514,slow
515,paced
516,unfolds
517,nice
518,volumes
519,even
520,notice
521,happening
522,fine
523,performance
524,sexuality
525,angles
526,seem
527,unnecessary
528,affect
529,enjoy
530,however
531,core
532,engaging
533,doesn
534,rush
535,onto
536,grips
537,enough
538,keep
539,wondering
540,direction
541,use
542,lights
543,achieve
544,desired
545,affects
546,unexpectedness
547,looking
548,lay
549,back
550,hear
551,thrilling
552,short
553,critically
554,acclaimed
555,psychological
556,based
557,true
558,events
559,gabriel
560,celebrated
561,late
562,talk
563,host
564,becomes
565,captivated
566,harrowing
567,listener
568,adoptive
569,mother
570,toni
571,collette
572,troubling
573,questions
574,arise
575,finds
